,postcode,locality,long,lat,dc
14442,2155,KELLYVILLE RIDGE,150.931074,-33.731522999999996,SEVEN HILLS DF
14443,2155,ROUSE HILL,150.931074,-33.731522999999996,SEVEN HILLS DF
14444,2156,ANNANGROVE,150.974528,-33.656984,DURAL DC
14445,2156,GLENHAVEN,150.974528,-33.656984,DURAL DC
14446,2156,KENTHURST,150.974528,-33.656984,DURAL DC
14447,2157,CANOELANDS,150.99105500000002,-33.602167,DURAL DC
14448,2157,FOREST GLEN,150.99105500000002,-33.602167,DURAL DC
14449,2157,GLENORIE,150.99105500000002,-33.602167,DURAL DC
14450,2157,HILLSIDE,150.99105500000002,-33.602167,
14451,2158,DURAL,151.040358,-33.690331,DURAL DC
14452,2158,MIDDLE DURAL,151.040358,-33.690331,DURAL DC
14453,2158,ROUND CORNER,151.040358,-33.690331,ROUND CORNER LPO
14454,2159,ARCADIA,151.084146,-33.539148,DURAL DC
14455,2159,BERRILEE,151.084146,-33.539148,DURAL DC
14456,2159,FIDDLETOWN,151.084146,-33.539148,DURAL DC
14457,2159,GALSTON,151.084146,-33.539148,DURAL DC
14458,2160,MERRYLANDS,150.976594,-33.835883,LEIGHTONFIELD DF
14459,2160,MERRYLANDS WEST,150.976594,-33.835883,LEIGHTONFIELD DF
14460,2161,GUILDFORD,150.983724,-33.858335,LEIGHTONFIELD DF
14461,2161,GUILDFORD WEST,150.983724,-33.858335,LEIGHTONFIELD DF
14462,2161,OLD GUILDFORD,150.983724,-33.858335,LEIGHTONFIELD DF
